time,symbol,open,high,low,close,volume,timestamp
2025-12-28 14:25:00+05:30,BTCUSD,87789.0,87815.5,87771.0,87780.5,5869,2025-12-28 14:25:00+05:30
2025-12-28 14:30:00+05:30,BTCUSD,87780.5,87811.0,87774.0,87805.5,7375,2025-12-28 14:30:00+05:30
2025-12-28 14:35:00+05:30,BTCUSD,87805.0,87825.0,87796.5,87825.0,9080,2025-12-28 14:35:00+05:30
2025-12-28 14:40:00+05:30,BTCUSD,87825.0,87852.0,87824.5,87838.5,12728,2025-12-28 14:40:00+05:30
2025-12-28 14:45:00+05:30,BTCUSD,87839.5,87849.0,87817.0,87849.0,7247,2025-12-28 14:45:00+05:30
2025-12-28 14:50:00+05:30,BTCUSD,87849.0,87871.5,87847.5,87871.5,5681,2025-12-28 14:50:00+05:30
2025-12-28 14:55:00+05:30,BTCUSD,87871.5,87877.0,87853.5,87860.0,9291,2025-12-28 14:55:00+05:30
2025-12-28 15:00:00+05:30,BTCUSD,87858.5,87858.5,87808.5,87809.5,10073,2025-12-28 15:00:00+05:30
2025-12-28 15:05:00+05:30,BTCUSD,87808.5,87809.5,87684.0,87748.5,49190,2025-12-28 15:05:00+05:30
2025-12-28 15:10:00+05:30,BTCUSD,87748.5,87752.0,87719.5,87752.0,13207,2025-12-28 15:10:00+05:30
2025-12-28 15:15:00+05:30,BTCUSD,87751.0,87758.5,87739.5,87750.0,8572,2025-12-28 15:15:00+05:30
2025-12-28 15:20:00+05:30,BTCUSD,87751.0,87759.0,87736.0,87759.0,5469,2025-12-28 15:20:00+05:30
2025-12-28 15:25:00+05:30,BTCUSD,87759.0,87777.5,87744.0,87777.5,7632,2025-12-28 15:25:00+05:30
2025-12-28 15:30:00+05:30,BTCUSD,87777.5,87832.5,87776.5,87832.5,10752,2025-12-28 15:30:00+05:30
2025-12-28 15:35:00+05:30,BTCUSD,87832.5,87934.0,87827.0,87919.0,28803,2025-12-28 15:35:00+05:30
2025-12-28 15:40:00+05:30,BTCUSD,87917.5,87943.5,87871.0,87873.5,21696,2025-12-28 15:40:00+05:30
2025-12-28 15:45:00+05:30,BTCUSD,87874.5,87917.0,87866.5,87914.5,13484,2025-12-28 15:45:00+05:30
