timestamp,open,high,low,close,volume,stochk_9_3,stochk_14_3,stochk_40_3,stochk_60_3,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,day,time,breakout,sl,entry,maxrr,rr
2025-07-28 11:20:00+05:30,5647.0,5669.0,5647.0,5658.0,7355,46.6,57.5,85.0,81.2,0.28,0.45,0.4,0.24,0.6,0.56,63.60406765068721,0.22,2025-07-28,11:20:00,True,5647.0,5658.0,0.1,-0.3
2025-08-05 10:30:00+05:30,669.95,671.85,669.95,671.7,36849,32.5,63.1,75.7,80.9,0.45,1.04,1.49,0.43,1.13,1.95,66.3509025020578,0.32,2025-08-05,10:30:00,True,669.95,671.7,2.6,2.6
2025-08-18 11:15:00+05:30,1524.0,1526.0,1523.5,1525.0,5103,31.7,23.5,87.1,87.0,0.42,1.59,2.51,-0.01,2.19,3.06,69.09197561194492,0.31,2025-08-18,11:15:00,True,1523.5,1525.0,0.4,-0.5
2025-07-28 11:10:00+05:30,1563.7,1565.0,1560.2,1563.0,25878,25.2,66.9,75.0,84.0,0.49,1.46,2.58,0.64,1.3,3.15,62.812506203951585,0.43,2025-07-28,11:10:00,True,1560.2,1563.0,0.1,-0.2
2025-08-25 11:00:00+05:30,378.35,378.7,378.3,378.5,16232,25.5,61.1,83.8,82.6,0.2,0.45,0.43,0.17,0.63,0.68,68.8302282796716,0.14,2025-08-25,11:00:00,True,378.3,378.5,2.3,1.4
2025-05-23 11:15:00+05:30,1685.3,1686.6,1683.0,1686.4,24720,30.5,26.2,85.0,85.3,0.23,0.89,1.36,-0.0,1.23,1.66,65.92855583444775,0.26,2025-05-23,11:15:00,True,1683.0,1686.4,0.2,-0.6
2025-05-26 11:20:00+05:30,587.36,587.88,586.4,587.0,36666,35.7,60.3,87.5,89.5,0.31,0.89,1.14,0.18,1.22,1.76,64.04526946919509,0.29,2025-05-26,11:20:00,True,586.4,587.0,0.1,-0.4
2025-06-24 10:50:00+05:30,3322.3,3327.0,3318.0,3326.2,5551,33.5,57.9,80.7,80.1,0.52,1.16,1.56,0.45,1.46,2.0,63.95891083283977,0.37,2025-06-24,10:50:00,True,3318.0,3326.2,0.8,-0.2
2025-08-08 10:55:00+05:30,3786.2,3794.0,3785.0,3792.4,22463,29.7,45.3,80.8,80.9,0.7,2.06,3.14,0.5,2.73,3.72,65.91829719329559,0.53,2025-08-08,10:55:00,True,3785.0,3792.4,7.2,1.7
2025-06-09 09:20:00+05:30,878.85,880.95,876.55,880.55,121663,29.9,31.9,55.9,85.0,0.22,0.88,2.35,0.17,0.43,2.64,58.217115791275354,0.33,2025-06-09,09:20:00,True,876.55,880.55,0.5,-0.7
2025-07-30 10:50:00+05:30,6704.5,6715.0,6703.0,6714.5,1460,31.0,35.6,77.8,80.6,0.17,0.51,0.92,0.11,0.44,1.35,59.2533428733999,0.2,2025-07-30,10:50:00,True,6703.0,6714.5,0.4,-0.6
2025-07-21 11:10:00+05:30,16176.0,16200.0,16170.0,16184.0,1943,27.5,27.5,81.2,81.2,0.09,0.34,0.46,-0.06,0.52,0.58,54.94249383979494,0.26,2025-07-21,11:10:00,True,16170.0,16184.0,2.9,2.2
2025-08-14 10:15:00+05:30,16036.0,16040.0,16020.0,16040.0,494,34.1,49.9,52.2,81.2,0.17,0.31,0.41,0.2,0.36,0.56,57.03344034552263,0.23,2025-08-14,10:15:00,True,16020.0,16040.0,3.4,3.4
2025-08-18 11:15:00+05:30,16783.0,16810.0,16781.0,16795.0,3325,22.4,34.5,84.0,84.7,0.32,1.4,2.51,-0.05,1.82,3.04,72.53221224992511,0.21,2025-08-18,11:15:00,True,16781.0,16795.0,-1.0,-1.0
2025-08-13 11:05:00+05:30,5730.0,5736.5,5730.0,5731.0,2512,30.6,60.9,80.6,80.4,0.18,0.54,0.76,0.18,0.71,0.92,61.91595873546684,0.2,2025-08-13,11:05:00,True,5730.0,5731.0,2.1,-0.1
2025-05-23 10:30:00+05:30,3533.7,3534.6,3531.2,3533.8,139,18.3,47.3,71.6,80.2,0.12,0.65,0.89,0.06,0.89,1.3,56.381340063550944,0.26,2025-05-23,10:30:00,True,3531.2,3533.8,6.2,1.2
2025-07-10 11:10:00+05:30,215.56,216.08,215.5,215.99,100608,28.0,35.8,82.5,84.3,0.16,1.04,2.33,-0.08,1.17,2.73,56.989573904581306,0.34,2025-07-10,11:10:00,True,215.5,215.99,0.5,-0.4
2025-07-03 10:55:00+05:30,192.57,192.85,192.25,192.77,437166,20.9,24.9,81.2,81.4,0.1,0.51,0.88,-0.06,0.73,1.01,56.125498288904424,0.24,2025-07-03,10:55:00,True,192.25,192.77,0.5,0.2
2025-08-12 11:10:00+05:30,173.85,174.14,173.84,174.07,44673,24.0,30.0,74.9,83.3,0.14,0.49,0.91,0.08,0.54,1.1,60.2408447052655,0.19,2025-08-12,11:10:00,True,173.84,174.07,2.0,0.4
2025-06-13 11:15:00+05:30,1646.8,1651.0,1645.8,1650.4,14706,32.5,64.4,88.6,88.6,0.16,0.31,0.46,0.2,0.45,0.27,55.52538773980046,0.3,2025-06-13,11:15:00,True,1645.8,1650.4,2.4,2.3
2025-06-30 11:15:00+05:30,1735.7,1739.4,1735.0,1739.4,8368,35.1,58.2,84.3,83.7,0.3,0.63,0.79,0.26,0.87,0.9,63.330478621851256,0.24,2025-06-30,11:15:00,True,1735.0,1739.4,2.4,2.2
